the_geom,H_NO,BIN,ADDRESS_ID,HNO_SUFFIX,HYPHEN_TYP,SIDE_OF_ST,SPECIAL_CO,BOROCODE,ZIPCODE,CREATED,MODIFIED,ST_NAME,HN_RNG,HN_RNG_SUF,PHYSICALID,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE
POINT (-73.96207495115017 40.778751494351205),1009,1087074,1036737,,N,2,V,1,10028,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,5,,,89914,,,,AVE,,,5 AVE
POINT (-73.96536442426623 40.774195691516),936,1041673,1033613,,N,2,V,1,10021,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,5,,,82136,,,,AVE,,,5 AVE
POINT (-73.98174350549506 40.74407450009372),160,1018305,1021093,,R,1,V,1,10016,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,LEXINGTON,162,,2046,,,,AVE,,,LEXINGTON AVE
POINT (-73.97628050183124 40.75907781631444),641,1035481,1030920,,N,1,V,1,10022,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,5,,,3460,,,,AVE,,,5 AVE
POINT (-73.9521749929555 40.79209920249677),1216,1051496,1040265,,N,2,V,1,10029,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,5,,,103293,,,,AVE,,,5 AVE
POINT (-73.96145733980511 40.77930951271403),1016,1046770,1036787,,N,2,V,1,10028,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,5,,,19299,,,,AVE,,,5 AVE
POINT (-73.9954346548634 40.73103449869977),1,1066883,1011247,,N,1,V,1,10003,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,WASHINGTON,,,80061,,,,SQ,N,,WASHINGTON SQ N
POINT (-73.95279517476501 40.78566470373285),1217,1048458,1038032,,N,2,V,1,10128,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,PARK,,,99232,,,,AVE,,,PARK AVE
POINT (-73.95172275404782 40.78719523158582),1255,1051719,1040646,,N,1,V,1,10029,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,PARK,,,81552,,,,AVE,,,PARK AVE
POINT (-73.97428415835489 40.79329317600339),680,1033640,1029590,,N,2,V,1,10025,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,END,,,23392,,W,,AVE,,,W  END AVE
POINT (-73.97811461997388 40.79162125639903),173,1034035,1030047,,N,2,V,1,10024,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,RIVERSIDE,,,3616,,,,DR,,,RIVERSIDE DR
POINT (-73.96116645958392 40.78002019845871),1028,1046795,1036820,,N,2,V,1,10028,04/06/2009 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,5,,,81587,,,,AVE,,,5 AVE
POINT (-73.935640912194 40.84071086094424),2207,1086200,5134109,,N,1,V,1,10032,06/13/2012 12:00:00 AM +0000,09/22/2015 12:00:00 AM +0000,AMSTERDAM,,,97561,,,,AVE,,,AMSTERDAM AVE
POINT (-73.98005582445532 40.71431506141535),550,1076784,1004769,G,N,1,V,1,10002,04/06/2009 12:00:00 AM +0000,03/02/2017 12:00:00 AM +0000,GRAND,,,66022,,,,ST,,,GRAND ST
POINT (-73.96652314563764 40.77241574725879),910,1041450,1033453,,N,1,V,1,10021,04/06/2009 12:00:00 AM +0000,03/02/2017 12:00:00 AM +0000,5,,,23270,,,,AVE,,,5 AVE
POINT (-73.96454618415015 40.7533097475864),21,1040091,1032570,,N,1,V,1,10022,04/06/2009 12:00:00 AM +0000,09/24/2015 12:00:00 AM +0000,BEEKMAN,,,23402,,,,PL,,,BEEKMAN PL
POINT (-73.94551769650126 40.77447210143218),120,1051245,1039848,,N,1,V,1,10028,04/06/2009 12:00:00 AM +0000,09/24/2015 12:00:00 AM +0000,END,,,19540,,E,,AVE,,,E  END AVE
POINT (-73.9851896005797 40.76037375495605),1601,1076195,1061351,,N,2,V,1,10019,04/06/2009 12:00:00 AM +0000,11/06/2013 12:00:00 AM +0000,BROADWAY,,,67108,,,,,,,BROADWAY
POINT (-73.89705671486108 40.66419976455466),480,3084974,3114780,,N,2,V,3,11207,02/13/2009 12:00:00 AM +0000,10/02/2015 12:00:00 AM +0000,ALABAMA,,,72306,,,,AVE,,,ALABAMA AVE
POINT (-73.91388469087399 40.879354519515104),525,2083313,2095825,,N,2,V,2,10463,03/16/2009 12:00:00 AM +0000,09/01/2015 12:00:00 AM +0000,227,,,87307,,W,,ST,,,W  227 ST
POINT (-73.9507567068104 40.7259594113618),107,3065691,3085023,,N,2,V,3,11222,02/13/2009 12:00:00 AM +0000,09/23/2015 12:00:00 AM +0000,NORMAN,,,45225,,,,AVE,,,NORMAN AVE
POINT (-73.9559415064022 40.787204960945765),1140,1047418,1037257,,N,1,V,1,10128,04/06/2009 12:00:00 AM +0000,09/24/2015 12:00:00 AM +0000,5,,,99231,,,,AVE,,,5 AVE
POINT (-73.96331142206331 40.7724965010719),784,1041504,1033522,,N,2,V,1,10021,04/06/2009 12:00:00 AM +0000,09/24/2015 12:00:00 AM +0000,PARK,,,19472,,,,AVE,,,PARK AVE
POINT (-73.92241275208174 40.61494298602034),5401,3239773,3298943,,N,1,V,3,11234,02/13/2009 12:00:00 AM +0000,09/24/2015 12:00:00 AM +0000,FILLMORE,,,68741,,,,AVE,,,FILLMORE AVE
POINT (-73.98997198523732 40.74153673201176),186,1015566,1018957,,N,1,V,1,10010,04/06/2009 12:00:00 AM +0000,09/28/2015 12:00:00 AM +0000,5,,,1169,,,,AVE,,,5 AVE
POINT (-73.95454985617128 40.78898958837898),1165,1051480,1040206,,N,2,V,1,10029,04/06/2009 12:00:00 AM +0000,09/23/2015 12:00:00 AM +0000,5,,,97330,,,,AVE,,,5 AVE
POINT (-73.96647512172892 40.768157587420475),666,1041223,1062080,,N,1,V,1,10065,04/06/2009 12:00:00 AM +0000,09/23/2015 12:00:00 AM +0000,PARK,,,89953,,,,AVE,,,PARK AVE
